1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000
0.7568,0.6444,0.8352,1.0000
0.9767,0.9760,0.9836,2.0000
1.0000,1.0000,1.0000,2.0000
1.0000,1.0000,1.0000,2.0000
0.9762,0.9776,0.9832,2.0000
1.0000,1.0000,1.0000,2.0000
0.9750,0.9772,0.9843,3.0000
0.9750,0.9749,0.9846,3.0000
0.9750,0.9749,0.9846,3.0000
0.9750,0.9772,0.9843,3.0000
1.0000,1.0000,1.0000,3.0000
1.0000,1.0000,1.0000,4.0000
1.0000,1.0000,1.0000,4.0000
1.0000,1.0000,1.0000,4.0000
1.0000,1.0000,1.0000,4.0000
1.0000,1.0000,1.0000,4.0000
1.0000,1.0000,1.0000,5.0000
1.0000,1.0000,1.0000,5.0000
1.0000,1.0000,1.0000,5.0000
1.0000,1.0000,1.0000,5.0000
1.0000,1.0000,1.0000,5.0000
1.0000,1.0000,1.0000,6.0000
1.0000,1.0000,1.0000,6.0000
1.0000,1.0000,1.0000,6.0000
1.0000,1.0000,1.0000,6.0000
1.0000,1.0000,1.0000,6.0000
